"order_id;""customer_id"";""order_status"";""order_purchase_timestamp"";""order_delivered_customer_date"";""customer_city"";""customer_state"";""product_id"";""price"";""freight_value"";""payment_type"";""payment_value"";""product_category_name"";""review_score"""
"47a60b8da8b1f9287e940ef3d33473c0;""c8564f088dc3ca12afd07f1515fc5386"";""delivered"";""2018-03-17 00:48:51"";""2018-04-11 01:16:46"";""brasilia"";""DF"";""a59fb60fddcc72a9878b7ed5cb69d8e4"";19.9;15.23;""credit_card"";35.13;""audio"";4"
"aed8573ac2c1e7bdccb04472bbeaec39;""30e44634f95a0c8423585cddd8d89c12"";""delivered"";""2018-03-27 14:30:53"";""2018-04-02 17:28:30"";""valinhos"";""SP"";""555796dfc4799923dc94be876085279c"";24.89;7.39;""credit_card"";129.12;""informatica_acessorios"";5"
"d7898ccadc85889e683ff908985b3a2e;""274954aa98c367e4f6753f89f6374c1e"";""delivered"";""2017-03-28 14:40:06"";""2017-04-04 16:06:11"";""belo horizonte"";""MG"";""f497ba62f1d6b4f6a3a3266fa8623ad3"";58.2;8.78;""credit_card"";133.96;""beleza_saude"";5"
"a65820c7e4307f72117e77fce6be1074;""4915b5f798ba5172def6562538b6cdbd"";""delivered"";""2017-07-28 10:51:19"";""2017-08-01 17:19:32"";""cravinhos"";""SP"";""4a523a9f00bf299d2496151b0e2a3238"";119.0;12.33;""credit_card"";131.33;""esporte_lazer"";0"
"771416ca662aedf861b2d6898e2be7dc;""b2d0c5fdac40d03de7c81ebd3f67eeda"";""delivered"";""2017-12-17 11:53:55"";""2018-01-03 16:37:41"";""sao goncalo"";""RJ"";""bf16de726d9f702aee68610fe171d70e"";69.99;14.24;""credit_card"";84.23;""consoles_games"";4"
"e7e818ad5eb0eddc4d7fb9bdade265dd;""d7ef5b9915f1b49111337dc50f579ea1"";""delivered"";""2018-06-09 14:20:15"";""2018-06-20 00:20:45"";""catalao"";""GO"";""a94ba3ccb95b8e55a03e0c8842d1ff8a"";114.9;51.3;""credit_card"";166.2;""relogios_presentes"";5"
"e1b489d5811a2f0401eb7bfb88887cd1;""968a67f39df931e3d773be73ea13e235"";""delivered"";""2017-07-31 10:39:11"";""2017-08-04 18:30:10"";""osasco"";""SP"";""1ed390fc2e1df06251341c288d315eea"";119.8;12.34;""credit_card"";132.14;""esporte_lazer"";4"
"250feacc914cfbf84cd0779fdbbb785e;""09934ba1d30ffe40370a11010fd1ef7a"";""delivered"";""2017-03-23 21:15:00"";""2017-04-03 18:34:25"";""sao paulo"";""SP"";""aba86c093ccdbac75b09111d57e50004"";119.6;11.52;""credit_card"";131.12;""moveis_escritorio"";2"
"35f34f644e23f2201ccc411a2cbbebce;""1a1d8b9aa28d2fa61418edb518c8603e"";""delivered"";""2017-02-26 00:04:26"";""2017-03-21 13:15:48"";""porto alegre"";""RS"";""613a1da144b1ad65ab2cba8d417ad350"";19.0;17.19;""credit_card"";36.19;""audio"";1"
"25ace71f9bb4d5f153b345c09fa36936;""33e2c0a2b85e5cf272063cf102cab8f0"";""delivered"";""2018-04-15 20:02:35"";""2018-04-24 20:52:37"";""duque de caxias"";""RJ"";""cac9e5692471a0700418aa3400b9b2b1"";99.49;15.58;""credit_card"";115.07;""bebes"";4"
"9d4ef6bf8501238d56e2c970ebae7d77;""4c349f62d9adaeb0851c59901523668a"";""delivered"";""2017-09-10 11:53:37"";""2017-09-14 18:42:10"";""blumenau"";""SC"";""db5efde3ad0cc579b130d71c4b2db522"";229.99;17.37;""voucher"";180.95;""audio"";5"
"c52fb5a3a299efd957043c432ca93553;""79504a5baca12dda1230e34effa970d7"";""delivered"";""2018-04-13 20:23:03"";""2018-04-17 23:19:12"";""osasco"";""SP"";""049e64366e5301baa9060eef6b10f217"";335.0;14.79;""boleto"";349.79;""relogios_presentes"";5"
"bf1f8df62b104db3de943cf23ed71435;""f09da4a140386d7af34fb63abe90d9eb"";""delivered"";""2018-05-25 08:16:47"";""2018-06-01 21:10:47"";""campinas"";""SP"";""e987fc6af8290fcf1db0510d52b65795"";8.9;7.39;""credit_card"";16.29;""beleza_saude"";5"
"216b8ce59251043404cc3b15cff651fc;""451ffb87d37499b3c61f7aab6af6f436"";""delivered"";""2018-07-29 05:12:32"";""2018-08-02 17:16:44"";""sao paulo"";""SP"";""2fb9e46750ac55362f7b642f12b5835b"";15.0;7.39;""boleto"";44.78;""informatica_acessorios"";5"
